CO,BU,CCY,BALANCE,FILE_NAME,DATE,UPDATED_AT
433,600,JPY,"2,347,361.33",TBC,2022-01-17,2022-01-17 14:44:03
433,600,NOK,"279,707.33",TBC,2022-01-17,2022-01-17 14:44:03
433,600,SEK,"59,934.57",TBC,2022-01-17,2022-01-17 14:44:03
433,600,USD,"5,501,356.63",TBC,2022-01-17,2022-01-17 14:44:03
433,800,GBP,"11,012.25",TBC,2022-01-17,2022-01-17 14:44:03
4439,100,EUR,"281,222.47",TBC,2022-01-17,2022-01-17 14:44:03
4439,100,GBP,"6,784,076.17",TBC,2022-01-17,2022-01-17 14:44:03
4439,100,USD,"226,172.08",TBC,2022-01-17,2022-01-17 14:44:03
4439,200,EUR,"37,896.25",TBC,2022-01-17,2022-01-17 14:44:03
4439,200,GBP,"5,206,015.16",TBC,2022-01-17,2022-01-17 14:44:03
4439,200,USD,"221,375.36",TBC,2022-01-17,2022-01-17 14:44:03
4439,500,EUR,"243,326.23",TBC,2022-01-17,2022-01-17 14:44:03
4439,500,GBP,"1,578,061.02",TBC,2022-01-17,2022-01-17 14:44:03
4439,500,USD,"4,796.74",TBC,2022-01-17,2022-01-17 14:44:03
4439,600,EUR,"212,915.12",TBC,2022-01-17,2022-01-17 14:44:03
4439,600,GBP,"11,115,070.24",TBC,2022-01-17,2022-01-17 14:44:03
4439,600,USD,"235,858.49",TBC,2022-01-17,2022-01-17 14:44:03
4439,800,GBP,"83,115.80",TBC,2022-01-17,2022-01-17 14:44:03
4655,100,AUD,"23,813.09",TBC,2022-01-17,2022-01-17 14:44:03
4655,100,DKK,"56,733.67",TBC,2022-01-17,2022-01-17 14:44:03
4655,100,EUR,"8,280,965.63",TBC,2022-01-17,2022-01-17 14:44:03
4655,100,GBP,"2,749,124.72",TBC,2022-01-17,2022-01-17 14:44:03
4655,100,NOK,"20,828.66",TBC,2022-01-17,2022-01-17 14:44:03
4655,100,SEK,"1,026,874.42",TBC,2022-01-17,2022-01-17 14:44:03
4655,100,USD,"3,952,198.14",TBC,2022-01-17,2022-01-17 14:44:03
4655,200,AUD,"16,157.19",TBC,2022-01-17,2022-01-17 14:44:03
4655,200,DKK,"28,366.85",TBC,2022-01-17,2022-01-17 14:44:03
4655,200,EUR,"5,687,111.98",TBC,2022-01-17,2022-01-17 14:44:03
4655,200,GBP,"1,460,287.75",TBC,2022-01-17,2022-01-17 14:44:03
4655,200,NOK,"10,414.10",TBC,2022-01-17,2022-01-17 14:44:03
4655,200,SEK,"524,598.88",TBC,2022-01-17,2022-01-17 14:44:03
4655,200,USD,"2,092,940.30",TBC,2022-01-17,2022-01-17 14:44:03
4655,500,AUD,"7,655.91",TBC,2022-01-17,2022-01-17 14:44:03
4655,500,DKK,"28,366.85",TBC,2022-01-17,2022-01-17 14:44:03
4655,500,EUR,"2,593,853.68",TBC,2022-01-17,2022-01-17 14:44:03
4655,500,GBP,"1,288,837.01",TBC,2022-01-17,2022-01-17 14:44:03
4655,500,NOK,"10,414.55",TBC,2022-01-17,2022-01-17 14:44:03
4655,500,SEK,"502,275.54",TBC,2022-01-17,2022-01-17 14:44:03
4655,500,USD,"1,863,535.36",TBC,2022-01-17,2022-01-17 14:44:03
4655,600,AUD,"905.96",TBC,2022-01-17,2022-01-17 14:44:03
4655,600,EUR,"2,042,592.84",TBC,2022-01-17,2022-01-17 14:44:03
4655,600,GBP,"2,667,909.83",TBC,2022-01-17,2022-01-17 14:44:03
4655,600,HKD,"429,363.49",TBC,2022-01-17,2022-01-17 14:44:03
4655,600,NOK,"5,194.73",TBC,2022-01-17,2022-01-17 14:44:03
4655,600,SEK,"186,849.20",TBC,2022-01-17,2022-01-17 14:44:03
4655,600,USD,"2,062,045.48",TBC,2022-01-17,2022-01-17 14:44:03
4655,800,GBP,"1,009.58",TBC,2022-01-17,2022-01-17 14:44:03
4655,800,USD,"926.77",TBC,2022-01-17,2022-01-17 14:44:03
